Applicant Name,Area,Band,Awarded Amount
Drawing Room,London,Band 1,"£51,214"
dreamthinkspeak,South East,Band 1,"£153,704"
Duckie,London,Band 1,"£145,114"
Durham County Council,North,Band 2,"£422,636"
East London Dance,London,Band 1,"£245,833"
East Midlands Jazz CIC,Midlands,Band 1,"£78,871"
East Street Arts,North,SSO,"£183,312"
East Street Arts,North,Band 1,"£157,811"
Eastern Angles Theatre Company Ltd,South East,Band 1,"£224,457"
Eastside Educational Trust,London,Band 1,"£51,722"
Eclipse Theatre Company Ltd,North,Band 1,"£254,092"
Eden Arts,North,Band 1,"£101,840"
emccan CIC,Midlands,Band 1,"£153,498"
Emergency Exit Arts,London,Band 1,"£120,094"
English Folk Dance and Song Society,London,Band 2,"£439,996"
English Folk Expo,North,SSO,"£96,748"
English National Ballet,London,Band 3,"£6,328,338"
English National Opera,London,Band 3,"£12,607,792"
English PEN,London,Band 1,"£234,216"
English Stage Company Limited,London,Band 3,"£2,353,761"
English Touring Opera Ltd,London,Band 3,"£1,775,399"
English Touring Theatre Ltd,London,Band 2,"£692,302"
Entelechy Arts Ltd,London,Band 1,"£81,826"
Essex Cultural Diversity Project,South East,Band 1,"£152,760"
Ex Cathedra Ltd,Midlands,Band 1,"£58,742"
Exeter City Council,South West,Band 2,"£618,363"
Exeter Northcott Theatre,South West,Band 1,"£127,300"
Exeter Phoenix,South West,Band 1,"£128,038"
Extant,London,Band 1,"£158,870"
Eye Music Trust,London,Band 1,"£104,086"
Fabrica,South East,Band 1,"£180,842"
FACT,North,Band 3,"£1,024,418"
Farnham Maltings Association,South East,Band 2,"£861,342"
Fevered Sleep,London,Band 1,"£204,861"
FIERCE! Festival,Midlands,Band 1,"£133,015"
Film and Video Umbrella,London,Band 2,"£386,301"
Film London,London,Band 2,"£327,827"
Firstsite Ltd,South East,Band 2,"£829,514"
Flatpack Projects,Midlands,Band 1,"£112,024"
Focal Point Gallery,South East,Band 1,"£189,813"
Forced Entertainment Ltd,North,Band 1,"£254,091"
Forma Arts and Media Limited,London,Band 2,"£264,455"
Forward Arts Foundation,London,Band 1,"£48,796"
Foundation for Community Dance t/a People Dancing,Midlands,Band 1,"£193,593"
Frantic Theatre Company Ltd,London,Band 1,"£225,259"
Freedom Festival Arts Trust,North,Band 1,"£254,599"
Freedom Studios,North,Band 1,"£143,542"
Friction Arts,Midlands,Band 1,"£68,742"
Fuel Productions,London,Band 1,"£204,861"
Furtherfield.org,London,Band 1,"£79,830"
Future Everything CIC,North,Band 1,"£82,952"
Gecko Theatre,South East,Band 1,"£224,457"
Geese Theatre Company Ltd,Midlands,Band 1,"£40,972"
Gem Arts,North,Band 1,"£122,208"
Generator North East,North,Band 1,"£158,922"
Global Grooves,North,Band 1,"£127,300"
Gloucestershire Everyman Theatre Ltd,South West,Band 2,"£384,494"
Glyndebourne Productions Ltd,South East,Band 3,"£1,659,030"
Goole Town Council,North,Band 1,"£70,265"
Graeae Theatre Company Ltd,London,Band 2,"£574,784"
Grand Union Arts CIO,Midlands,Band 1,"£99,803"
Great Georges Community Cultural Project Ltd,North,Band 1,"£112,024"
Greater Manchester Arts Centre Ltd,North,Band 3,"£1,321,387"
Greenwich+Docklands Festivals,London,Band 1,"£254,091"
Grimm & Co,North,Band 1,"£117,116"
Grizedale Arts,North,Band 1,"£201,334"
Grundy Art Gallery,North,Band 1,"£43,915"
hÅb,North,Band 1,"£71,701"
Hackney Empire Ltd,London,Band 2,"£375,295"
Half Moon Young People's Theatre,London,Band 1,"£221,452"
Halle Concerts Society,North,Band 3,"£2,122,014"
Hampstead Theatre Ltd,London,Band 2,"£766,455"
Harrogate Theatre,North,Band 1,"£143,502"
Hastings Contemporary,South East,Band 1,"£101,840"
Havering Theatre Trust,London,Band 2,"£282,129"
Headlong Theatre Ltd,London,Band 2,"£692,302"
Heads Together Productions Limited,North,Band 1,"£47,463"
Heart n Soul,London,Band 2,"£304,904"
Heart of Glass,North,Band 2,"£356,440"
Helix Arts Ltd,North,Band 1,"£110,335"
Higher Rhythm Ltd,North,Band 1,"£54,994"
Highlights Productions,North,Band 1,"£122,004"
HighTide Festival Productions LTD,South East,Band 1,"£195,180"
Hofesh Shechter Company,London,Band 2,"£390,360"
Home Live Art,South East,Band 1,"£76,823"
Homotopia Limited,North,Band 1,"£101,840"
Hoot Creative Arts,North,Band 1,"£40,905"
Horniman Museum and Gardens,London,Band 2,"£964,097"
Hounslow Arts Trust Ltd,London,Band 1,"£122,917"
Huddersfield Contemporary Music Festival,North,Band 1,"£246,073"
Hull City Council,North,Band 2,"£1,014,743"
Hull Truck Theatre,North,Band 2,"£805,229"
Ikon Gallery,Midlands,Band 3,"£1,028,307"
Ilkley Literature Festival Ltd,North,Band 1,"£139,953"
ILUVLIVE,London,Band 1,"£105,767"
imitating the dog,North,Band 1,"£191,459"
Impressions Gallery of Photography Limited,North,Band 1,"£206,003"
Improbable,London,Band 1,"£220,517"
In Between Time,South West,Band 1,"£194,618"
Index on Censorship,London,SSO,"£43,915"
Inner City Music Ltd,North,Band 1,"£183,312"
Inpress Ltd,North,SSO,"£161,405"
In-Situ,North,Band 1,"£141,558"
Institute of Contemporary Arts,London,Band 2,"£878,310"
Institute Of Cultural & Creative Industries,South East,Band 2,"£278,806"
Institute of Fundraising,London,SSO,"£109,944"
Institute of International Visual Arts,London,Band 1,"£232,546"
International Curators Forum,London,Band 1,"£152,760"
Interplay Theatre Trust,North,Band 1,"£153,796"
Intoart,London,Band 1,"£122,511"
Invisible Dust,North,Band 1,"£183,312"
Invisible Flock Co,North,Band 1,"£198,588"
IOU Ltd,North,Band 1,"£188,404"
Ironbridge Gorge Museum Trust,Midlands,Band 2,"£749,709"
Ironbridge Gorge Museum Trust,Midlands,SSO,"£313,255"
ISAN,London,SSO,"£173,578"
Jacksons Lane,London,Band 1,"£132,135"
Jasmin Vardimon Dance Company,South East,Band 2,"£294,895"
Jazz North,North,SSO,"£193,496"
Jazz re:freshed,London,Band 1,"£133,202"
J-Night,North,Band 1,"£70,014"
John Hansard Gallery,South West,Band 2,"£612,579"
Junction Arts Limited,Midlands,Band 1,"£102,431"
Junction CDC Ltd,South East,Band 2,"£649,146"
Kala Sangam,North,Band 1,"£101,840"
Kaleider Limited,South West,Band 1,"£112,024"
Kali Theatre Co.,London,Band 1,"£200,116"
KARST,South West,Band 1,"£142,576"
Kendal Brewery Arts Centre,North,Band 2,"£327,776"
Kettle's Yard,South East,Band 2,"£296,107"
Kids in Museums,London,SSO,"£162,944"
Kiln Theatre,London,Band 2,"£844,782"
Kinetika Bloco,London,Band 1,"£81,472"
Kinetika People,South East,Band 1,"£126,129"
Kirklees Theatre Trust,North,Band 1,"£151,264"
Knowle West Media Centre,South West,Band 1,"£92,188"
Koestler Trust,London,Band 1,"£76,380"
Lakes Arts Festivals Ltd,North,Band 1,"£238,306"
Lancaster Arts at Lancaster University,North,Band 1,"£104,949"
Lapworth Museum of Geology,Midlands,Band 1,"£106,673"
Ledbury Poetry Festival,Midlands,Band 1,"£54,042"
Leeds Museums and Galleries,North,Band 3,"£1,619,256"
Leeds Theatre Trust Limited,North,Band 3,"£1,535,853"
Leicester Arts Centre Limited,Midlands,Band 1,"£81,945"
Leicester City Council,Midlands,Band 2,"£407,360"
Leicester Dance Theatre Limited,Midlands,Band 2,"£371,716"
Leicester Print Workshop,Midlands,Band 1,"£71,583"
Leicester Theatre Trust Ltd,Midlands,Band 3,"£1,949,247"
Leicestershire County Council,Midlands,SSO,"£303,665"
Level Centre Ltd,Midlands,Band 1,"£141,354"
Libraries Connected,London,SSO,"£509,200"
Libraries Unlimited South West,South West,Band 1,"£175,123"
Lighthouse Arts and Training Ltd,South East,Band 1,"£117,108"
Lincolnshire County Council,Midlands,Band 1,"£72,725"
Literature Works,South West,Band 1,"£98,333"
Littleworld Ltd t/a Horse and Bamboo Theatre,North,Band 1,"£125,907"
Live & Local Ltd,Midlands,Band 2,"£296,827"
Live Art Development Agency,London,Band 1,"£240,186"
Liverpool Arab Arts Festival,North,Band 1,"£112,024"
Liverpool Biennial of Contemporary Art Ltd,North,Band 2,"£802,861"
Liverpool City Council Culture Liverpool,North,Band 2,"£254,600"
London Arts in Health Forum,London,Band 1,"£66,870"
London Borough of Barking and Dagenham,London,Band 1,"£183,312"
London Borough of Waltham Forest - WILLIAM MORRIS GALLERY,London,Band 1,"£61,104"
London International Festival of Theatre,London,Band 2,"£460,936"
London International Mime Festival,London,Band 1,"£204,861"
London Philharmonic Orchestra,London,Band 3,"£2,079,799"
London Symphony Orchestra,London,Band 3,"£2,246,641"
London Transport Museum,London,Band 1,"£253,582"
Loud In Libraries CIC,North,Band 1,"£115,578"
Ludus Dance,North,Band 1,"£97,404"
Luton Carnival Arts Development Trust,South East,Band 1,"£152,760"
Luton Cultural Services Trust - Wardown House,South East,Band 1,"£253,582"
LUX,London,Band 1,"£205,841"
M6 THEATRE COMPANY LIMITED,North,Band 1,"£202,987"
Magna Vitae,Midlands,Band 1,"£152,760"
Mahogany Community Ventures Limited,London,Band 1,"£157,844"
Manchester Camerata Limited,North,Band 1,"£159,502"
Manchester City Galleries,North,Band 3,"£1,627,056"
Manchester Craft And Design,North,Band 1,"£81,472"
Manchester Jazz Festival,North,Band 1,"£153,292"
Manchester Jewish Museum,North,Band 1,"£112,024"
Manchester Literature Festival,North,Band 1,"£78,072"
Manchester Museum,North,SSO,"£326,041"
Manchester Young People's Theatre trading as Contact,North,Band 2,"£933,297"
Mandinga Arts,London,Band 1,"£56,337"
Matt's Gallery Ltd,London,Band 1,"£156,207"
MAYK Theatre CIC,South West,Band 1,"£91,656"
Meadow Arts,Midlands,Band 1,"£163,889"
Mercury Musical Developments,London,SSO,"£126,757"
Metal Culture Ltd,South East,Band 2,"£575,781"
Metro-Boulot-Dodo Limited,Midlands,Band 1,"£142,576"
MeWe Foundation,London,SSO,"£198,588"
Middle Child,North,Band 1,"£152,760"
Middlesbrough Town Hall,North,Band 1,"£253,582"
Midlands Arts Centre,Midlands,Band 2,"£752,746"
MIF,North,Band 3,"£9,165,600"
MIF,North,Band 3,"£742,550"
Mikron Theatre Company,North,Band 1,"£48,680"
Milap Festival Trust,North,Band 2,"£369,586"
Milton Keynes Arts Centre LTD,South East,Band 1,"£99,803"
Mimbre,London,Band 1,"£128,087"
Mind the Gap,North,Band 1,"£250,924"
Miracle Theatre Trust Ltd,South West,Band 1,"£96,748"
MK Gallery,South East,Band 2,"£390,360"
Modern Art Oxford,South East,Band 2,"£908,766"
Modern Poetry in Translation,South East,Band 1,"£50,920"
More Music,North,Band 1,"£107,552"
Motionhouse,Midlands,Band 2,"£477,432"
Multistory,Midlands,Band 1,"£143,403"
Museum of East Anglian Life,South East,Band 1,"£150,218"
Museum of English Rural Life,South East,Band 1,"£254,599"
Museum of London,London,SSO,"£249,325"
Museum of London,London,Band 3,"£1,120,240"
Music for Youth,London,Band 1,"£175,002"
Music in the Round,North,Band 1,"£145,594"
Musiko Musika,London,Band 1,"£109,900"
Mytime Active,London,Band 1,"£83,465"
National Association for Gallery Education (engage),London,SSO,"£234,034"
National Centre for Circus Arts,London,Band 2,"£348,157"
National Centre for Writing,South East,Band 2,"£507,576"
National Criminal Justice Arts Alliance,London,SSO,"£66,196"
National Justice Museum,Midlands,Band 1,"£244,416"
National Opera Studio,London,Band 1,"£171,316"
National Rural Touring Forum,South East,Band 1,"£88,176"
National Student Drama Festival,Midlands,Band 1,"£57,583"
National Theatre,London,Band 3,"£17,007,280"
National Youth Choirs of Great Britain,North,Band 1,"£56,314"
National Youth Jazz Collective,London,Band 1,"£65,625"
National Youth Jazz Orchestra,London,Band 1,"£127,300"
National Youth Orchestra of Great Britain,London,Band 1,"£131,575"
National Youth Theatre of Great Britain,London,Band 2,"£311,395"
New Adventures Charity,South East,Band 3,"£1,317,810"
New Art Exchange Ltd,Midlands,Band 2,"£868,591"
New Contemporaries (1988) Ltd,London,Band 1,"£119,956"
New Earth Theatre Company,London,Band 1,"£178,220"
New International Encounter,South East,Band 1,"£156,144"
New Perspectives Theatre Company,Midlands,Band 2,"£308,316"
New Wolsey Theatre Company Ltd,South East,Band 2,"£953,328"
New Writing North,North,Band 2,"£320,412"
New Writing South,South East,Band 1,"£126,477"
Newhampton Arts Centre,Midlands,Band 1,"£183,312"
Newlyn Art Gallery Ltd,South West,Band 2,"£368,417"
Nine Arches Press,Midlands,Band 1,"£63,650"
NMC Recordings Ltd.,London,Band 1,"£40,736"
NN Contemporary Art,Midlands,Band 1,"£61,104"
NoFit State Community Circus Ltd,Midlands,Band 1,"£204,861"
Norfolk and Norwich Festival Trust,South East,Band 2,"£829,514"
Norfolk and Norwich Festival Trust,South East,SSO,"£509,200"
Norfolk Museums Service,South East,Band 3,"£1,225,308"
Norfolk Museums Service,South East,SSO,"£444,310"
North East Theatre Trust Ltd,North,Band 2,"£638,255"
North Kesteven District Council,Midlands,Band 1,"£204,861"
North Lincolnshire Council 20-21 Visual Arts Centre,North,Band 1,"£76,120"
North Music Trust,North,Band 3,"£3,576,745"
Northampton Theatres Trust,Midlands,Band 2,"£862,245"
Northern Ballet Limited,North,Band 3,"£3,169,261"
Northern Broadsides Theatre Company,North,Band 2,"£259,984"
Northern Print,North,Band 1,"£108,610"
Northern School of Contemporary Dance,North,Band 1,"£152,760"
Northern Stage (Theatrical Productions) Ltd,North,Band 3,"£1,591,246"
Norwich Arts Centre,South East,Band 1,"£185,421"
not/nowhere arts ltd,London,Band 1,"£56,439"
Nottingham City Museums and Galleries,Midlands,Band 2,"£474,775"
Nottingham Contemporary,Midlands,Band 3,"£1,024,303"
Nottingham Media Centre Ltd,Midlands,Band 1,"£102,431"
Nottingham Playhouse,Midlands,Band 3,"£1,379,735"
November Club,North,Band 1,"£102,530"
NTS Live,London,Band 1,"£70,500"
Nutkhut,London,Band 1,"£102,781"
Ockham's Razor,London,Band 1,"£184,375"
Octopus Collective Ltd.,North,Band 1,"£71,524"
Oily Cart,London,Band 2,"£291,849"
Oldham Coliseum Theatre,North,Band 2,"£615,182"
One Dance UK,Midlands,SSO,"£763,800"
Open Clasp Theatre Company,North,Band 1,"£180,301"
Open Eye gallery,North,Band 1,"£246,759"
Open School East,South East,Band 1,"£91,656"
Open Theatre Company,Midlands,Band 1,"£152,760"
OpenUp Music,South West,Band 1,"£162,944"
Opera North Limited,North,Band 3,"£10,577,102"
Orchestra of the Age of Enlightenment,London,Band 1,"£207,656"
Orchestras Live,North,Band 2,"£487,950"
OTO Projects CIC,London,Band 1,"£76,312"
Otolith Collective Ltd,London,Band 1,"£51,215"
Out of Joint,London,Band 2,"£434,197"
Outside In,South East,Band 1,"£101,840"
Ovalhouse Theatre Ltd,London,Band 2,"£484,277"
Oxford Contemporary Music,South East,Band 1,"£189,201"
Oxford Playhouse Trust,South East,Band 2,"£386,456"
Pagoda Arts,North,Band 1,"£45,689"
Paines Plough,London,Band 2,"£321,427"
Palace Theatre Watford Limited,South East,Band 2,"£805,118"
Pallant House Gallery,South East,Band 1,"£90,759"
Paraiso School of Samba,London,Band 1,"£61,458"
Paraorchestra and Friends,South West,Band 1,"£253,582"
Pavilion Dance South West Ltd,South West,Band 2,"£393,322"
Peckham Platform Ltd,London,Band 1,"£76,380"
Peepal Tree Press,North,Band 1,"£153,269"
Peer UK,London,Band 1,"£87,165"
Pegasus Theatre Trust,South East,Band 2,"£305,493"
Penned in the Margins,London,Band 1,"£45,828"
Pentabus Arts Ltd,Midlands,Band 1,"£190,779"
People Express,Midlands,Band 1,"£55,312"
People United,South East,Band 1,"£127,300"
People's History Museum,North,Band 2,"£327,925"
People's Palace Projects,London,Band 1,"£134,576"
Perfect Pitch Musicals Ltd,Midlands,Band 1,"£109,062"
Peshkar,North,Band 1,"£77,189"
Philharmonia Limited,London,Band 3,"£2,079,799"
Phoenix Dance Theatre,North,Band 2,"£436,395"
