Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments,
Action Transport Theatre,NPO,"£120,696","£122,917","£177,917",Theatre,North,North West,Ellesmere Port and Neston,Cheshire West and Chester,Non-LUCP,Non-Priority place,,
Activate Performing Arts Ltd,NPO,"£279,250","£284,388","£284,388",Combined arts,South West,South West,West Dorset,Dorset,Non-LUCP,Non-Priority place,,
Actors Touring Company,NPO,"£207,773","£211,596","£211,596",Theatre,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Ad Infinitum Productions CIO,NPO,£0,£0,"£190,000",Theatre,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,,
Africa Oye Limited,NPO,"£163,449","£166,456","£217,456",Music,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
African Night Fever,NPO,£0,£0,"£98,000",Music,South East,South East,Hove,Brighton and Hove,Non-LUCP,Non-Priority place,,
AIR in G (Arts in Rural Gloucestershire) Ltd,NPO,"£42,243","£43,020","£75,000",Theatre,South West,West Midlands,Hereford and South Herefordshire,"Herefordshire, County of",Non-LUCP,Non-Priority place,,
Akademi,NPO,"£215,000","£218,956","£218,956",Dance,London,London,Hampstead and Kilburn,Camden,Non-LUCP,Non-Priority place,,
Akram Khan Dance Company,NPO,"£500,610","£509,821","£509,821",Dance,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Almeida Theatre Company Limited,NPO,"£675,499","£687,928","£587,928",Theatre,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Amina Khayyam Dance Co,NPO,£0,£0,"£135,000",Dance,South East,South East,Slough,Slough,LUCP,Priority place,,
a-n The Artists Information Company,NPO,"£212,754","£216,669","£216,669",Visual arts,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
And Other Stories Publishing CIC,NPO,"£74,000","£75,362","£75,362",Literature,North,Yorkshire and The Humber,"Sheffield, Hallam",Sheffield,Non-LUCP,Non-Priority place,,
Animate Projects Limited,NPO,£0,£0,"£162,000",Visual arts,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,,
Applause Rural Touring,NPO,"£145,000","£147,668","£267,668",Combined arts,South East,South East,Tunbridge Wells,Tunbridge Wells,Non-LUCP,Non-Priority place,,
Apples and Snakes,NPO,"£455,000","£463,372","£463,372",Literature,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
ARCADE,NPO,£0,£0,"£180,000",Combined arts,North,Yorkshire and The Humber,East Yorkshire,East Riding of Yorkshire,LUCP,Non-Priority place,,
Arcola Theatre Production Company,NPO,"£301,738","£307,290","£307,290",Theatre,London,London,Hackney North and Stoke Newington,Hackney,Non-LUCP,Non-Priority place,,
arebyte,NPO,£0,£0,"£113,300",Visual arts,London,London,Poplar and Limehouse,Tower Hamlets,Non-LUCP,Non-Priority place,,
Arena Theatre (University of Wolverhampton),NPO,"£110,069","£112,094","£112,094",Theatre,Midlands,West Midlands,Wolverhampton South West,Wolverhampton,LUCP,Priority place,,
Arnolfini Gallery,NPO,£0,£0,"£696,780",Visual arts,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
Art Asia Trust Limited,NPO,"£95,827","£97,590","£195,900",Combined arts,South West,South East,"Southampton, Test",Southampton,Non-LUCP,Non-Priority place,,
Art classes group,NPO,£0,£0,"£130,000",Visual arts,South East,South East,Slough,Slough,LUCP,Priority place,,
Art Gene Limited,NPO,"£110,000","£112,024","£239,957",Visual arts,North,North West,Barrow and Furness,Barrow-in-Furness,LUCP,Priority place,,
Art Monthly,NPO,"£40,232","£40,972","£50,000",Visual arts,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Art Services Grants Ltd,NPO,"£221,221","£225,291","£225,291",Visual arts,London,London,Ilford South,Redbridge,Non-LUCP,Non-Priority place,,
Artcore,NPO,"£160,000","£162,944","£162,944",Visual arts,Midlands,East Midlands,Derby South,Derby,Non-LUCP,Non-Priority place,,
Artichoke Trust,NPO,"£468,134","£476,748","£476,748",Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
ArtReach (Trust) Ltd,NPO,"£350,000","£356,440","£356,440",Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
Arts & Homelessness International,IPSO,£0,£0,"£90,000",Combined arts,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,,
Arts Alive CIO,NPO,"£58,781","£59,863","£166,863",Combined arts,Midlands,West Midlands,Ludlow,Shropshire,Non-LUCP,Non-Priority place,,
Arts at the Mill CIC,NPO,£0,£0,"£350,000",Combined arts,North,North West,Wigan,Wigan,LUCP,Priority place,,
Arts Catalyst,NPO,"£130,000","£132,392","£132,392",Visual arts,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,,
Arts Marketing Association,IPSO,"£235,643","£239,979","£120,000",Not discipline specific,South East,East of England,Cambridge,Cambridge,Non-LUCP,Non-Priority place,,
Arts Outburst,NPO,£0,£0,"£90,000",Combined arts,South East,East of England,Thurrock,Thurrock,LUCP,Non-Priority place,,
Artsadmin,NPO,"£533,072","£542,881","£542,881",Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Artsreach,NPO,"£55,319","£56,337","£56,337",Combined arts,South West,South West,West Dorset,Dorset,Non-LUCP,Non-Priority place,,
Artswork,NPO,"£1,519,397","£1,547,354","£1,394,508",Not discipline specific,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,,
Arvon Foundation,NPO,"£388,267","£395,411","£395,411",Literature,North,Yorkshire and The Humber,Calder Valley,Calderdale,Non-LUCP,Non-Priority place,,
Asian Arts Agency,NPO,"£280,870","£286,038","£586,038",Music,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
Aspex Visual Arts Trust,NPO,"£112,117","£114,180","£114,180",Visual arts,South West,South East,Portsmouth South,Portsmouth,LUCP,Priority place,,
Association for Cultural Enterprises,IPSO,"£198,000","£201,643","£201,643",Not discipline specific,North,North East,North West Durham,County Durham,LUCP,Priority place,,
Association of Independent Museums,IPSO,"£300,000","£305,520","£305,520",Museums,North,North West,Ellesmere Port and Neston,Cheshire West and Chester,Non-LUCP,Non-Priority place,,
Association of Senior Children's and Education Librarians,IPSO,£0,£0,"£200,000",Libraries,North,North West,Weaver Vale,Halton,LUCP,Non-Priority place,,
Attitude is Everything,IPSO,"£249,700","£254,294","£379,294",Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
AudioActive,NPO,£0,£0,"£307,120",Music,South East,South East,Worthing West,Worthing,Non-LUCP,Non-Priority place,,
Aurora Orchestra,NPO,"£91,829","£93,519","£143,519",Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,,
Auto Italia,NPO,"£50,290","£51,215","£106,930",Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Autograph ABP,NPO,"£700,000","£712,880","£1,012,880",Visual arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
Awards for Young Musicians,NPO,£0,£0,"£400,000",Music,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,,
B Music Ltd,NPO,"£80,464","£81,945","£81,945",Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
B3 Media Limited,NPO,"£180,000","£183,312","£183,312",Visual arts,London,London,Mitcham and Morden,Merton,Non-LUCP,Non-Priority place,,
Baby People,NPO,"£48,418","£49,309","£113,000",Music,Midlands,East Midlands,Derby North,Derby,Non-LUCP,Non-Priority place,,
Back to Ours Arts Limited,NPO,£0,£0,"£320,000",Combined arts,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,,
Backlit,NPO,"£75,000","£76,380","£76,380",Visual arts,Midlands,East Midlands,Nottingham East,Nottingham,Non-LUCP,Non-Priority place,,
Balbir Singh Dance Company,NPO,"£150,460","£153,228","£251,728",Dance,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Ballet Black,NPO,"£220,000","£224,048","£424,048",Dance,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
Ballet Lorent Limited,NPO,"£399,968","£407,327","£537,327",Dance,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,,
BalletBoyz Ltd,NPO,"£300,000","£305,520","£305,520",Dance,London,London,Richmond Park,Kingston upon Thames,Non-LUCP,Non-Priority place,,
Baltic Flour Mills Visual Arts Trust,NPO,"£3,158,000","£3,037,975","£3,037,975",Visual arts,North,North East,Gateshead,Gateshead,Non-LUCP,Non-Priority place,,
Bamboozle Theatre Company,NPO,"£200,000","£203,680","£303,675",Theatre,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
"Barbican Theatre, Plymouth",NPO,"£195,120","£198,710","£198,710",Dance,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,,
Barnsley Civic Enterprise Ltd,NPO,"£160,000","£162,944","£250,944",Combined arts,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,,
Barnsley Metropolitan Borough Council,NPO,£0,£0,"£195,723",Libraries,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,,
Barnsley Museums,NPO,"£466,500","£475,084","£475,084",Museums,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,,
Bath Spa University Paper Nations,NPO,£0,£0,"£201,020",Literature,South West,South West,Bath,Bath and North East Somerset,Non-LUCP,Non-Priority place,,
Battersea Arts Centre,NPO,"£693,897","£706,665","£706,665",Theatre,London,London,Battersea,Wandsworth,Non-LUCP,Non-Priority place,,
BCP Council,NPO,"£150,000","£152,760","£152,760",Combined arts,South West,South West,Bournemouth West,"Bournemouth, Christchurch and Poole",Non-LUCP,Non-Priority place,,
Beacon Collaborative,IPSO,£0,£0,"£163,333",Not discipline specific,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Beaford Arts,NPO,"£95,894","£97,658","£159,758",Combined arts,South West,South West,North Devon,North Devon,LUCP,Priority place,,
Beamish Museum,NPO,"£436,776","£444,813","£444,813",Museums,North,North East,North Durham,County Durham,LUCP,Priority place,,
Beavers Arts Ltd.,NPO,"£80,000","£81,472","£81,472",Combined arts,Midlands,West Midlands,Stoke-on-Trent Central,Stoke-on-Trent,LUCP,Priority place,,
Bedford Borough Council,NPO,£0,£0,"£65,000",Museums,South East,East of England,Bedford,Bedford,Non-LUCP,Non-Priority place,,
Bedford Creative Arts,NPO,"£143,740","£146,385","£146,385",Combined arts,South East,East of England,Bedford,Bedford,Non-LUCP,Non-Priority place,,
Belgrade Theatre Trust (Coventry) Ltd,NPO,"£942,215","£959,552","£1,229,552",Theatre,Midlands,West Midlands,Coventry South,Coventry,Non-LUCP,Non-Priority place,,
Bermondsey Artists’ Group,NPO,"£134,006","£136,472","£136,472",Visual arts,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
Bernard Leach Trust Limited  (Leach Pottery),NPO,"£40,000","£40,736","£50,000",Visual arts,South West,South West,St Ives,Cornwall,Non-LUCP,Non-Priority place,,
Bernie Grant Centre Partnership,NPO,£0,£0,"£307,000",Combined arts,London,London,Tottenham,Haringey,Non-LUCP,Non-Priority place,,
Berwick Film & Media Arts Festival,NPO,"£70,000","£71,288","£125,288",Visual arts,North,North East,Berwick-upon-Tweed,Northumberland,LUCP,Non-Priority place,,
Beyond Face CIC,NPO,£0,£0,"£250,000",Theatre,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,,
Bharatiya Vidya Bhavan Ltd,NPO,"£128,999","£131,373","£131,373",Music,London,London,Hammersmith,Hammersmith and Fulham,Non-LUCP,Non-Priority place,,
Big Brum Theatre in Education Company,NPO,£0,£0,"£160,000",Theatre,Midlands,West Midlands,"Birmingham, Yardley",Birmingham,Non-LUCP,Non-Priority place,,
Birmingham City University,NPO,"£123,415","£125,686","£125,686",Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Birmingham Contemporary Music Group,NPO,"£319,653","£325,535","£325,535",Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Birmingham Museums Trust,NPO,"£1,007,568","£1,026,107","£1,026,107",Museums,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Birmingham Opera Company,NPO,"£477,644","£486,433","£586,433",Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Birmingham Repertory Theatre,NPO,"£1,833,953","£1,867,698","£1,867,698",Theatre,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Birmingham Royal Ballet,NPO,"£7,891,000","£8,036,194","£8,036,194",Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Black Country Living Museum Trust,NPO,"£550,000","£560,120","£760,120",Museums,Midlands,West Midlands,Dudley North,Dudley,LUCP,Priority place,,
Black Country Touring,NPO,"£143,497","£146,137","£307,225",Combined arts,Midlands,West Midlands,Warley,Sandwell,LUCP,Priority place,,
Black Lives in Music,IPSO,£0,£0,"£325,000",Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Blackburn Museum and Art Gallery,NPO,£0,£0,"£148,000",Museums,North,North West,Blackburn,Blackburn with Darwen,LUCP,Priority place,,
Blackfriars Arts Centre Ltd,NPO,£0,£0,"£130,000",Combined arts,Midlands,East Midlands,Boston and Skegness,Boston,LUCP,Priority place,,
Blackpool Grand Theatre (Arts & Entertainment) Ltd,NPO,"£209,992","£213,856","£463,856",Theatre,North,North West,Blackpool South,Blackpool,LUCP,Priority place,,
Blackpool Illuminations,NPO,£0,£0,"£225,000",Combined arts,North,North West,Blackpool South,Blackpool,LUCP,Priority place,,
Blast Theory,NPO,"£134,157","£136,625","£136,625",Visual arts,South East,South East,Hove,Brighton and Hove,Non-LUCP,Non-Priority place,,
Blink Dance Theatre,NPO,£0,£0,"£258,599",Dance,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,,
Bloodaxe Books Ltd,NPO,"£92,032","£93,725","£110,000",Literature,North,North East,Hexham,Northumberland,LUCP,Non-Priority place,,
Bloomin' Buds Theatre Company Limited,NPO,£0,£0,"£100,000",Theatre,North,Yorkshire and The Humber,Bradford East,Bradford,Non-LUCP,Non-Priority place,,
BOM (Birmingham Open Media),NPO,"£142,600","£145,224","£290,448",Visual arts,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Book Works,NPO,"£176,512","£179,760","£179,760",Visual arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
BookTrust,NPO,£0,£0,"£5,763,099",Literature,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Boundless Theatre,NPO,"£186,063","£189,487","£189,487",Theatre,London,London,Croydon North,Croydon,Non-LUCP,Priority place,,
Bournemouth Symphony Orchestra,NPO,"£2,554,790","£2,601,798","£2,601,798",Music,South West,South West,Poole,"Bournemouth, Christchurch and Poole",Non-LUCP,Non-Priority place,,
Bow Arts Trust,NPO,"£50,290","£51,215","£51,215",Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Box Clever Theatre Company,NPO,£0,£0,"£80,000",Theatre,Midlands,East Midlands,Louth and Horncastle,East Lindsey,LUCP,Priority place,,
Boy Blue,NPO,"£200,000","£203,680","£403,680",Dance,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,,
Bradford Museums & Galleries,NPO,£0,£0,"£381,770",Museums,North,Yorkshire and The Humber,Bradford West,Bradford,Non-LUCP,Non-Priority place,,
Brass Bands England,IPSO,"£207,000","£210,809","£405,809",Music,North,Yorkshire and The Humber,Barnsley Central,Barnsley,LUCP,Priority place,,
Bridport Arts Centre,NPO,"£57,412","£58,468","£58,468",Combined arts,South West,South West,West Dorset,Dorset,Non-LUCP,Non-Priority place,,
Brighter Sound,NPO,£0,£0,"£192,000",Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Brighton Dome & Festival Limited,NPO,"£1,149,921","£1,171,080","£1,171,080",Combined arts,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,,
Bristol Museums,NPO,"£1,339,670","£1,364,320","£1,364,320",Museums,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,,
Bristol Music Trust,NPO,"£325,000","£330,980","£330,980",Music,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
Bristol Old Vic and Theatre Royal Trust Ltd,NPO,"£1,228,381","£1,250,983","£1,250,000",Theatre,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,,
British Motor Industry Heritage Trust,NPO,"£220,000","£224,048","£224,048",Museums,Midlands,West Midlands,Kenilworth and Southam,Stratford-on-Avon,Non-LUCP,Non-Priority place,,
British Textile Biennial,NPO,£0,£0,"£220,000",Visual arts,North,North West,Blackburn,Blackburn with Darwen,LUCP,Priority place,,
British Underground Ltd,NPO,"£151,406","£154,192","£179,192",Music,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,,
British Youth Music Theatre,NPO (Transfer),"£77,519","£78,945","£151,426",Music,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,,
British Youth Opera,NPO,"£42,621","£43,405","£50,000",Music,London,London,Putney,Wandsworth,Non-LUCP,Non-Priority place,,
Britten Pears Arts,NPO,"£1,403,019","£1,428,835","£1,428,835",Music,South East,East of England,Suffolk Coastal,East Suffolk,Non-LUCP,Non-Priority place,,
Brownswood Music Ltd,NPO,"£89,000","£90,638","£90,638",Music,London,London,Hackney North and Stoke Newington,Hackney,Non-LUCP,Non-Priority place,,
b-side Multimedia Festival CIC,NPO,"£133,651","£151,386","£134,881",Combined arts,South West,South West,South Dorset,Dorset,Non-LUCP,Non-Priority place,,
Bucks County Museum,NPO,"£100,000","£101,840","£101,840",Museums,South East,South East,Aylesbury,Buckinghamshire,Non-LUCP,Non-Priority place,,
Bureau of Silly Ideas,NPO,"£40,232","£40,972","£50,000",Combined arts,London,London,Dulwich and West Norwood,Lambeth,Non-LUCP,Non-Priority place,,
Burnley Youth Theatre,NPO,"£63,365","£64,531","£130,000",Theatre,North,North West,Burnley,Burnley,LUCP,Non-Priority place,,
Burton Art Gallery and Museum,NPO,"£83,600","£85,138","£85,138",Visual arts,South West,South West,Torridge and West Devon,Torridge,LUCP,Non-Priority place,,
Buxton Arts Festival Ltd,NPO,"£120,000","£122,208","£122,208",Music,Midlands,East Midlands,High Peak,High Peak,Non-LUCP,Non-Priority place,,
buxton opera house,NPO,£0,£0,"£300,000",Combined arts,Midlands,East Midlands,High Peak,High Peak,Non-LUCP,Non-Priority place,,
Camden Arts Centre,NPO,"£919,673","£936,595","£600,000",Visual arts,London,London,Hampstead and Kilburn,Camden,Non-LUCP,Non-Priority place,,
Camden People's Theatre,NPO,"£70,000","£71,288","£71,288",Theatre,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Candoco Dance Company,NPO,"£447,889","£456,130","£456,130",Dance,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,,
Capsule Events Ltd,NPO,"£175,000","£178,220","£178,220",Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Carcanet Press Limited,NPO,"£120,696","£122,917","£122,917",Literature,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Cardboard Citizens,NPO,"£160,000","£162,944","£162,944",Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Carnival Village Trust,NPO,"£400,000","£407,360","£453,860",Combined arts,London,London,Kensington,Kensington and Chelsea,Non-LUCP,Non-Priority place,,
Carousel Project,NPO,"£197,488","£201,122","£215,000",Music,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,,
Cartwheel Arts,NPO,£0,£0,"£157,930",Combined arts,North,North West,Heywood and Middleton,Rochdale,LUCP,Priority place,,
Cast,NPO,"£320,000","£325,888","£325,888",Combined arts,North,Yorkshire and The Humber,Doncaster Central,Doncaster,LUCP,Non-Priority place,,
Castlefield Gallery,NPO,"£70,000","£71,288","£71,288",Visual arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Cause4,IPSO,"£500,000","£509,200","£509,200",Not discipline specific,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,,
Cement Fields,NPO,"£240,000","£244,416","£244,416",Visual arts,South East,South East,Canterbury,Canterbury,Non-LUCP,Non-Priority place,,
Centre for Chinese Contemporary Art,NPO,"£287,481","£292,771","£292,771",Visual arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Certain Blacks,NPO,£0,£0,"£210,000",Combined arts,London,London,West Ham,Newham,Non-LUCP,Priority place,,
Chalo,NPO,£0,£0,"£60,000",Music,London,London,Poplar and Limehouse,Tower Hamlets,Non-LUCP,Non-Priority place,,
Chapel Arts Studios,NPO,"£145,002","£147,670","£147,670",Visual arts,South West,South East,North West Hampshire,Test Valley,Non-LUCP,Non-Priority place,,
Charnwood Arts,NPO,"£131,759","£134,183","£134,183",Combined arts,Midlands,East Midlands,Loughborough,Charnwood,Non-LUCP,Non-Priority place,,
Chatham Historic Dockyard Trust,NPO,"£245,000","£249,508","£249,508",Museums,South East,South East,Rochester and Strood,Medway,LUCP,Priority place,,
Cheltenham Festivals,NPO,"£213,551","£217,480","£217,480",Combined arts,South West,South West,Cheltenham,Cheltenham,Non-LUCP,Non-Priority place,,
Cheshire Dance,NPO,"£88,208","£89,831","£89,831",Dance,North,North West,Eddisbury,Cheshire West and Chester,Non-LUCP,Non-Priority place,,
Cheshire West and Chester Council,NPO,"£87,398","£89,006","£50,000",Combined arts,North,North West,City of Chester,Cheshire West and Chester,Non-LUCP,Non-Priority place,,
Chichester Festival Theatre,NPO,"£1,740,214","£1,772,234","£1,772,234",Theatre,South East,South East,Chichester,Chichester,Non-LUCP,Non-Priority place,,
Children's Discovery Centre East London,NPO,"£93,870","£95,597","£95,597",Literature,London,London,West Ham,Newham,Non-LUCP,Priority place,,
China Plate,NPO,"£249,000","£253,582","£253,582",Theatre,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Chineke Foundation,NPO,£0,£0,"£700,000",Music,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,,
Chisenhale Gallery,NPO,"£165,378","£168,421","£168,421",Visual arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,,
Chol International Arts,NPO,£0,£0,"£95,000",Theatre,North,Yorkshire and The Humber,Colne Valley,Kirklees,LUCP,Priority place,,
Cinder House Publishing Limited,NPO,£0,£0,"£150,000",Literature,North,North West,"Liverpool, Wavertree",Liverpool,Non-LUCP,Non-Priority place,,
Cinderford Artspace,NPO,"£47,948","£48,830","£50,000",Combined arts,South West,South West,Forest of Dean,Forest of Dean,LUCP,Non-Priority place,,
City Arts Nottingham,NPO,"£103,408","£105,311","£105,311",Combined arts,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,,
City of Birmingham Symphony orchestra,NPO,"£2,180,983","£2,221,113","£2,221,113",Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
Claybody Theatre,NPO,£0,£0,"£150,000",Theatre,Midlands,West Midlands,Newcastle-under-Lyme,Newcastle-under-Lyme,Non-LUCP,Non-Priority place,,
Clean Break Theatre Company Ltd,NPO,"£216,195","£220,173","£220,173",Theatre,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
Clod Ensemble,NPO,"£120,696","£122,917","£122,917",Theatre,London,London,Greenwich and Woolwich,Greenwich,Non-LUCP,Non-Priority place,,
CLPE,NPO,£0,£0,"£110,000",Literature,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,,
CoDa Dance Company,NPO,£0,£0,"£137,500",Dance,South East,East of England,Thurrock,Thurrock,LUCP,Non-Priority place,,
